,lat,long,trip_count
216,40.7497,-73.9911,24
217,40.7813,-73.9542,17
218,40.7287,-74.0026,13
219,40.7422,-73.9934,20
220,40.6458,-73.7768,17
221,40.7459,-73.9781,16
222,40.7835,-73.9549,14
223,40.7813,-73.9797,13
224,40.7445,-74.0064,15
225,40.7197,-74.0086,19
226,40.6449,-73.7815,15
227,40.77,-73.8635,68
228,40.7403,-74.006,13
229,40.7737,-73.8707,91
230,40.7783,-73.9819,16
231,40.7366,-73.9888,20
232,40.7794,-73.9558,17
233,40.75,-73.9915,97
234,40.726,-73.9946,18
235,40.7476,-74.004,17
236,40.7646,-73.9728,17
237,40.7341,-73.9805,13
238,40.7499,-73.9916,58
239,40.6446,-73.782,93
240,40.7299,-74.002,19
241,40.757,-73.99,34
242,40.6447,-73.782,180
243,40.6446,-73.7822,96
244,40.7252,-73.9951,21
245,40.6437,-73.7905,13
246,40.7679,-73.962,25
247,40.7397,-73.9764,26
248,40.7532,-73.9965,13
249,40.7446,-73.976,21
250,40.6436,-73.7897,16
251,40.7408,-74.0076,30
252,40.7505,-73.9947,42
253,40.7508,-73.9871,17
254,40.7528,-73.993,14
255,40.7761,-73.9761,22
256,40.7697,-73.8636,80
257,40.7229,-74.0051,14
258,40.741,-74.0016,15
259,40.77,-73.8632,46
260,40.7949,-73.9718,18
261,40.7737,-73.8709,261
262,40.7504,-73.9914,25
263,40.756,-73.9677,17
264,40.7492,-73.9922,15
265,40.7719,-73.959,16
266,40.7572,-73.99,15
267,40.7345,-73.9989,20
268,40.7289,-73.9844,14
269,40.742,-73.9934,17
270,40.749,-73.9922,16
271,40.7698,-73.8634,87
272,40.6468,-73.7902,19
273,40.7794,-73.9556,15
274,40.744,-73.9858,14
275,40.7691,-73.9849,16
276,40.702,-74.0128,13
277,40.7796,-73.9534,17
278,40.7352,-74.006,13
279,40.7621,-73.979,18
280,40.7458,-73.9802,16
281,40.7714,-73.9564,14
282,40.7631,-73.9739,20
283,40.7671,-73.9537,15
284,40.7408,-73.9859,22
285,40.7505,-73.9912,17
286,40.7637,-73.9734,20
287,40.7696,-73.9809,13
288,40.7641,-73.9558,13
289,40.7401,-73.9948,34
290,40.7571,-73.9639,15
291,40.7503,-73.9915,55
292,40.7427,-73.9804,16
293,40.7568,-73.9897,15
294,40.7257,-74.0076,13
295,40.7509,-73.9943,32
296,40.7696,-73.8637,48
297,40.7052,-74.0072,17
298,40.7697,-73.8634,50
299,40.7569,-73.99,40
300,40.7503,-73.9916,25
301,40.7427,-73.9967,22
302,40.7652,-73.9549,14
303,40.7945,-73.9719,13
304,40.7514,-73.994,43
305,40.7403,-74.0079,16
306,40.7937,-73.9669,21
307,40.756,-73.9907,37
308,40.7471,-74.001,14
309,40.7397,-74.0023,18
310,40.7763,-73.9759,19
311,40.7511,-73.9941,255
312,40.764,-73.9558,14
313,40.6451,-73.7768,79
314,40.7499,-73.9914,50
315,40.7404,-74.0057,27
316,40.757,-73.9898,25
317,40.8137,-73.9599,14
318,40.7365,-73.9891,13
319,40.6439,-73.7899,14
320,40.7663,-73.957,16
321,40.779,-73.9582,14
322,40.7734,-73.949,14
323,40.779,-73.9623,36
324,40.741,-73.998,13
325,40.7435,-73.9961,14
326,40.7784,-73.9817,15
327,40.77,-73.8634,115
328,40.7253,-73.9921,13
329,40.7371,-73.997,15
330,40.7713,-73.9566,15
331,40.7658,-73.9635,14
332,40.7663,-73.9834,13
333,40.7689,-73.8628,64
334,40.731,-74.0014,16
335,40.6467,-73.7899,19
336,40.7638,-73.9733,28
337,40.7741,-73.9485,16
338,40.7253,-73.9952,13
339,40.7687,-73.8628,47
340,40.7593,-73.9958,13
341,40.7296,-73.9782,13
342,40.7424,-74.0042,14
343,40.7502,-73.9917,27
344,40.6438,-73.7899,21
345,40.7705,-73.96,16
346,40.7696,-73.9604,13
347,40.7648,-73.9726,14
348,40.645,-73.7811,39
349,40.7413,-73.9813,16
350,40.7519,-73.9756,15
351,40.783,-73.953,14
352,40.7522,-73.9754,26
353,40.751,-73.9942,98
354,40.7649,-73.9881,13
355,40.7495,-73.9924,14
356,40.7499,-73.9919,22
357,40.7588,-73.9886,19
358,40.7688,-73.8628,89
359,40.7698,-73.8635,84
360,40.727,-74.0033,14
361,40.7396,-73.991,13
362,40.7521,-73.9774,14
363,40.77,-73.8637,27
364,40.7408,-74.0077,18
365,40.764,-73.9542,14
366,40.7785,-73.9821,31
367,40.7504,-73.9948,18
368,40.751,-73.9944,15
369,40.7509,-74.0055,20
370,40.6867,-73.9905,45
371,40.7361,-73.9977,22
372,40.784,-73.9797,13
373,40.7686,-73.8629,13
374,40.7219,-73.9973,23
375,40.7429,-73.9927,19
376,40.7417,-73.9936,23
377,40.7425,-74.0042,21
378,40.7581,-73.9662,18
379,40.7793,-73.9556,23
380,40.7623,-73.966,18
381,40.7315,-74.001,14
382,40.7523,-73.9754,14
383,40.7824,-73.9715,23
384,40.7645,-73.9728,19
385,40.772,-73.9561,17
386,40.7504,-73.9915,20
387,40.7394,-73.9911,13
388,40.7301,-73.9834,15
389,40.7858,-73.9764,13
390,40.7739,-73.871,41
391,40.7706,-73.9571,20
392,40.7623,-73.9861,14
393,40.7713,-73.9565,17
394,40.7513,-73.9942,45
395,40.7403,-73.9947,19
396,40.7701,-73.8634,34
397,40.7359,-73.9853,19
398,40.6438,-73.7897,17
399,40.7626,-73.9729,17
400,40.7498,-73.9935,15
401,40.6466,-73.7897,13
402,40.7375,-73.9841,17
403,40.7524,-73.9783,22
404,40.7731,-73.8854,77
405,40.7696,-73.9517,17
406,40.7608,-73.9611,19
407,40.7399,-73.9951,23
408,40.7499,-73.992,15
409,40.77,-73.8636,46
410,40.762,-73.9661,13
411,40.744,-73.9879,14
412,40.7403,-74.0059,26
413,40.7332,-74.0063,19
414,40.7786,-73.9817,13
415,40.7568,-73.9902,18
416,40.764,-73.9691,15
417,40.7504,-73.9945,16
418,40.6448,-73.7821,25
419,40.7316,-73.9823,29
420,40.7749,-73.9569,13
421,40.7402,-74.0058,22
422,40.7481,-73.9849,19
423,40.7739,-73.8728,32
424,40.7795,-73.9535,20
425,40.7699,-73.8632,93
426,40.7281,-74.0029,13
