,lat,long,taxi_type,trip_count
189,40.7607,-73.9611,y,39
190,40.645,-73.7811,y,39
191,40.7691,-73.8629,y,39
192,40.7524,-73.9781,y,39
193,40.6447,-73.7823,y,39
194,40.7465,-73.8909,g,38
195,40.7469,-73.8909,g,38
196,40.6445,-73.7825,y,38
197,40.7525,-73.9781,y,38
198,40.7419,-74.0047,y,38
199,40.7524,-73.9782,y,38
200,40.7508,-73.9908,y,38
201,40.7499,-73.9918,y,38
202,40.77,-73.9177,g,37
203,40.7698,-73.8639,y,37
204,40.7561,-73.9908,y,37
205,40.7523,-73.9784,y,37
206,40.6487,-73.7835,y,37
207,40.7696,-73.8638,y,37
208,40.7723,-73.9522,y,37
209,40.756,-73.9907,y,37
210,40.7498,-73.9916,y,37
211,40.774,-73.8734,y,37
212,40.7442,-74.0067,y,37
213,40.7736,-73.8706,y,37
214,40.7736,-73.9599,y,37
215,40.77,-73.9176,g,36
216,40.7503,-73.9913,y,36
217,40.7508,-73.9909,y,36
218,40.779,-73.9623,y,36
219,40.7335,-73.9996,y,36
220,40.7564,-73.9904,y,36
221,40.7642,-73.9543,y,36
222,40.7689,-73.8626,y,36
223,40.7699,-73.8639,y,36
224,40.6448,-73.7817,y,36
225,40.7683,-73.9823,y,36
226,40.7618,-73.9254,g,35
227,40.7421,-73.9747,y,35
228,40.7562,-73.9904,y,35
229,40.74,-73.9949,y,35
230,40.7564,-73.9903,y,35
231,40.7506,-73.9945,y,35
232,40.7499,-73.9917,y,35
233,40.7498,-73.9914,y,35
234,40.8054,-73.9391,g,34
235,40.6456,-73.7768,y,34
236,40.7701,-73.8634,y,34
237,40.6469,-73.7898,y,34
238,40.742,-73.9747,y,34
239,40.7208,-74.01,y,34
240,40.7737,-73.8711,y,34
241,40.7401,-73.9948,y,34
242,40.7503,-73.9946,y,34
243,40.757,-73.99,y,34
244,40.6445,-73.7822,y,34
245,40.7736,-73.8709,y,34
246,40.7908,-73.9537,g,33
247,40.7213,-73.8442,g,33
248,40.7667,-73.9214,g,33
249,40.7419,-73.9748,y,33
250,40.7523,-73.9782,y,33
251,40.6469,-73.7899,y,33
252,40.7832,-73.9529,y,33
253,40.7395,-74.0026,y,33
254,40.6487,-73.7837,y,33
255,40.7506,-73.9946,y,33
256,40.7562,-73.9908,y,33
257,40.7561,-73.9904,y,33
