,lat,long,trip_count
215,40.7561,-73.9905,39
216,40.7699,-73.9607,12
217,40.715,-74.016,18
218,40.7624,-73.9659,19
219,40.7953,-73.9658,11
220,40.7755,-73.9565,15
221,40.7402,-73.9906,11
222,40.6451,-73.7767,15
223,40.7441,-73.9732,14
224,40.7736,-73.9518,11
225,40.7823,-73.9557,11
226,40.7934,-73.9672,18
227,40.7524,-73.9778,11
228,40.7477,-73.9787,13
229,40.7502,-73.9915,61
230,40.7114,-74.0102,12
231,40.77,-73.9516,14
232,40.7646,-73.9918,15
233,40.7565,-73.9906,16
234,40.7851,-73.9733,15
235,40.7356,-74.0018,14
236,40.796,-73.9616,13
237,40.7557,-73.9909,16
238,40.6454,-73.7769,16
239,40.7496,-73.9912,13
240,40.769,-73.9812,15
241,40.7387,-73.9958,19
242,40.7794,-73.9557,17
243,40.7502,-73.9914,68
244,40.7335,-73.9871,11
245,40.7664,-73.957,15
246,40.7523,-73.9756,26
247,40.7794,-73.9447,15
248,40.7502,-73.9911,14
249,40.7575,-73.967,12
250,40.7528,-73.9751,11
251,40.7419,-73.9749,16
252,40.7466,-73.9796,14
253,40.7699,-73.8636,24
254,40.734,-74.0062,11
255,40.7513,-73.994,68
256,40.7405,-73.979,11
257,40.7717,-73.9593,27
258,40.7742,-73.873,101
259,40.7716,-73.9594,13
260,40.7696,-73.8638,12
261,40.7684,-73.9823,18
262,40.7338,-73.9807,13
263,40.7642,-73.9921,14
264,40.7458,-73.972,12
265,40.776,-73.9473,16
266,40.7524,-73.978,35
267,40.7523,-73.9783,37
268,40.7738,-73.871,101
269,40.7641,-73.9542,14
270,40.7669,-73.9538,13
271,40.7495,-73.9909,14
272,40.7712,-73.9597,12
273,40.7561,-73.9904,42
274,40.7485,-73.9804,11
275,40.7488,-73.9887,13
276,40.7388,-74.0081,39
277,40.7351,-73.99,16
278,40.7424,-73.9969,17
279,40.7499,-73.9917,35
280,40.7489,-73.9886,12
281,40.7797,-73.956,12
282,40.7522,-73.9782,28
283,40.7796,-73.9536,14
284,40.7457,-73.9783,15
285,40.756,-73.9904,30
286,40.7513,-73.9941,93
287,40.7698,-73.9607,12
288,40.7738,-73.8711,36
289,40.7501,-73.9919,20
290,40.7645,-73.9772,16
291,40.7502,-73.9913,45
292,40.7709,-73.9509,19
293,40.7113,-74.016,24
294,40.7509,-73.9941,15
295,40.7428,-73.9804,11
296,40.7514,-73.9941,31
297,40.7679,-73.9559,18
298,40.7451,-73.995,14
299,40.7565,-73.9908,13
300,40.7716,-73.9613,13
301,40.7698,-73.9546,13
302,40.7666,-73.9631,17
303,40.7689,-73.8627,49
304,40.7691,-73.8629,13
305,40.7851,-73.9697,14
306,40.7672,-73.9626,14
307,40.7453,-73.9949,13
308,40.7478,-73.9787,14
309,40.7504,-73.9913,48
310,40.7651,-73.9752,14
311,40.7587,-73.9658,14
312,40.7661,-73.9632,11
313,40.6449,-73.7819,11
314,40.7694,-73.9519,21
315,40.7671,-73.9536,31
316,40.7159,-74.0152,11
317,40.7505,-73.9946,37
318,40.7919,-73.9647,12
319,40.779,-73.9538,12
320,40.7269,-73.9858,15
321,40.7435,-73.9769,11
322,40.7891,-73.9703,11
323,40.7673,-73.9624,26
324,40.767,-73.9565,17
325,40.7864,-73.9529,14
326,40.789,-73.9704,11
327,40.6469,-73.7901,14
328,40.7598,-73.9955,12
329,40.7646,-73.9644,13
330,40.7723,-73.9528,11
331,40.7429,-74.0002,20
332,40.7472,-73.9811,15
333,40.778,-73.9546,12
334,40.7896,-73.9663,13
335,40.7658,-73.9636,22
336,40.7453,-74.0022,12
337,40.7646,-73.9919,12
338,40.7375,-74.0049,12
339,40.7728,-73.9494,12
340,40.7511,-73.9909,19
341,40.7752,-73.9538,18
342,40.7473,-73.9812,15
343,40.7623,-73.9787,12
344,40.7508,-73.9909,36
345,40.7835,-73.9477,21
346,40.7501,-73.9913,43
347,40.7423,-73.9969,19
348,40.7503,-73.9911,12
349,40.7559,-73.9908,20
350,40.7317,-73.9822,14
351,40.7526,-73.9781,19
352,40.7496,-73.9915,14
353,40.7751,-73.9633,13
354,40.7699,-73.9515,30
355,40.7521,-73.9779,14
356,40.7771,-73.9464,11
357,40.7322,-74.0077,32
358,40.7561,-73.9907,51
359,40.7388,-73.9872,11
360,40.7665,-73.9784,12
361,40.7256,-74.0056,13
362,40.7499,-73.9915,56
363,40.7672,-73.9566,11
364,40.7688,-73.8629,33
365,40.7439,-73.9733,20
366,40.7327,-73.9815,16
367,40.7759,-73.9763,19
368,40.774,-73.8712,11
369,40.647,-73.7897,12
370,40.7564,-73.9901,17
371,40.7697,-73.9845,11
372,40.7362,-73.9976,14
373,40.7674,-73.9535,17
374,40.7583,-73.9863,17
